X Y Z Label
0.7950 -0.4727 0.7551 2.0000
0.6992 -0.5960 0.8180 2.0000
-1.4037 -0.4618 -1.5723 1.0000
0.7530 1.2959 0.8641 0.0000
0.6023 -0.5847 0.7120 2.0000
0.7316 -0.7225 0.7047 2.0000
0.6844 1.4467 0.7132 0.0000
0.4426 -0.8706 0.7794 2.0000
-1.4036 -0.8533 -1.5504 1.0000
0.6241 1.4162 0.6826 0.0000
-1.3403 -0.4543 -1.3461 1.0000
0.7242 1.4006 0.7209 0.0000
0.6154 1.4335 0.4820 0.0000
0.5674 1.3263 0.9443 0.0000
0.5320 -0.7147 0.9478 2.0000
0.8164 -0.6468 0.6497 2.0000
0.5549 1.1917 0.4755 0.0000
0.7859 1.1601 0.6060 0.0000
0.7605 -0.8119 0.7357 2.0000
-1.4995 -0.8209 -1.4618 1.0000
0.8048 1.2969 0.7114 0.0000
0.7271 1.2476 0.7242 0.0000
0.7663 -0.8150 0.5403 2.0000
-1.5643 -0.7475 -1.3993 1.0000
0.5510 1.3546 0.7364 0.0000
-1.6358 -0.8503 -1.6553 1.0000
-1.2699 -0.7465 -1.5119 1.0000
-1.3993 -0.8779 -1.4633 1.0000
0.8076 1.4666 0.5953 0.0000
0.6028 1.4083 0.7653 0.0000
0.5785 1.6114 0.6288 0.0000
-1.2605 -0.7525 -1.4129 1.0000
0.8605 -0.6763 0.8104 2.0000
-1.4741 -0.9375 -1.4590 1.0000
0.9033 1.5716 0.9096 0.0000
-1.3722 -0.7627 -1.5537 1.0000
-1.6712 -0.7508 -1.2808 1.0000
0.6572 -0.4123 0.7496 2.0000
0.7366 1.7159 0.6217 0.0000
0.6641 -0.6834 0.6477 2.0000
-1.4948 -0.6755 -1.6509 1.0000
-1.3408 -0.6380 -1.5413 1.0000
0.6803 1.3240 0.9129 0.0000
-1.1718 -0.4961 -1.3965 1.0000
-1.2829 -0.6995 -1.4507 1.0000
-1.5290 -0.9065 -1.3257 1.0000
0.5644 1.5794 0.7419 0.0000
-1.4595 -0.7659 -1.4406 1.0000
-1.3003 -0.9292 -1.2149 1.0000
0.7679 -0.6130 0.8731 2.0000
0.6126 1.3534 0.6360 0.0000
0.7609 1.3769 0.7926 0.0000
0.6850 -0.7481 0.6794 2.0000
0.7662 -0.7464 0.7363 2.0000
-1.4241 -0.6196 -1.3810 1.0000
-1.5549 -0.5278 -1.5763 1.0000
0.5532 -0.9588 0.7019 2.0000
0.8254 -0.7199 0.8258 2.0000
0.8442 1.4480 0.6498 0.0000
0.8924 -0.6067 0.8892 2.0000
0.6289 1.3456 0.7931 0.0000
-1.1790 -0.7078 -1.3723 1.0000
0.7056 1.6197 0.6236 0.0000
0.8054 -0.6613 0.7655 2.0000
0.6498 1.3907 0.7357 0.0000
0.7182 -0.6310 0.8238 2.0000
0.7275 1.2664 0.6279 0.0000
0.5323 -0.8063 0.9428 2.0000
-1.3924 -0.7197 -1.4320 1.0000
-1.5529 -0.5313 -1.4814 1.0000
0.5862 -0.8071 0.7844 2.0000
-1.3003 -0.5882 -1.5296 1.0000
-1.3515 -0.5776 -1.2554 1.0000
0.6666 -0.5867 0.5383 2.0000
0.8409 -0.7156 0.4660 2.0000
0.7661 -0.6272 0.6473 2.0000
-1.2643 -0.7837 -1.4425 1.0000
-1.4259 -0.5197 -1.6117 1.0000
-1.5817 -0.6580 -1.5057 1.0000
0.6755 -0.5255 0.7717 2.0000
0.7882 1.4585 0.7645 0.0000
-1.4381 -0.5712 -1.5108 1.0000
-1.3849 -0.6558 -1.4442 1.0000
0.9513 -0.6087 0.8013 2.0000
0.8076 1.2497 0.8859 0.0000
0.7592 1.2789 0.7405 0.0000
0.5895 -0.8285 0.6879 2.0000
0.6574 -0.6917 0.7279 2.0000
0.6917 -0.8078 0.9076 2.0000
0.7093 1.4145 0.6833 0.0000
0.7442 1.2782 0.6902 0.0000
0.7289 -0.7147 0.6311 2.0000
0.5124 -0.8638 0.7436 2.0000
0.4372 -0.7411 0.5648 2.0000
0.6163 1.4966 0.5417 0.0000
-1.4978 -0.5783 -1.6429 1.0000
0.7477 1.6033 0.6940 0.0000
0.8099 1.2349 0.7183 0.0000
-1.1602 -0.5744 -1.1971 1.0000
0.6048 -0.5171 0.5194 2.0000
0.6923 -0.5720 0.7318 2.0000
0.7829 1.2819 0.8018 0.0000
0.7296 1.5362 0.5966 0.0000
0.6173 -0.8697 0.4821 2.0000
0.8948 -0.6274 0.8744 2.0000
0.6523 -0.6336 0.8110 2.0000
0.7117 -0.7173 0.6421 2.0000
0.6638 1.4461 0.5977 0.0000
-1.2358 -0.5823 -1.6317 1.0000
0.6192 -0.7082 0.6377 2.0000
-1.2896 -0.6579 -1.6224 1.0000
0.8373 1.4133 0.5660 0.0000
-1.2955 -0.4908 -1.3552 1.0000
0.6546 -0.6069 0.8835 2.0000
0.8008 -0.7031 0.6317 2.0000
