X	Y	Z	Label (0/1=circle, -1=extra)
-0.711917	-0.546609	-0.089891	0.000000
0.502297	0.035865	0.101280	1.000000
0.473588	0.198309	-0.574789	1.000000
-0.892223	0.502352	-0.185596	0.000000
-0.143615	0.938935	0.749356	0.000000
0.923024	0.256302	-0.270496	0.000000
0.059593	0.913847	-0.075824	0.000000
0.946938	-0.141954	-0.863693	0.000000
1.036613	-0.131775	0.313070	0.000000
-0.692196	-0.743210	0.222491	0.000000
1.039585	-0.164968	-0.035770	0.000000
0.848313	0.668853	-0.054339	0.000000
-0.632155	0.733676	-0.467035	0.000000
-0.440096	0.810021	-0.287484	0.000000
0.152731	0.580408	0.159806	1.000000
-0.474525	0.151768	0.624657	1.000000
-0.935887	0.474402	-0.161178	0.000000
-0.290399	0.380466	-0.342059	1.000000
-0.322365	-0.934804	0.655650	0.000000
-0.983645	0.394341	0.557948	0.000000
-0.711240	0.695201	0.329527	0.000000
0.044073	0.537969	0.407251	1.000000
-0.976871	0.228328	0.036591	0.000000
-0.029498	1.035347	-0.178036	0.000000
0.376891	-0.304330	-0.478276	1.000000
0.274173	0.934497	0.278618	0.000000
-0.295087	-0.362353	-0.018455	1.000000
0.711733	0.694142	0.276687	0.000000
0.331245	-0.308949	0.434404	1.000000
0.302002	0.990204	-0.160848	0.000000
0.185497	-0.992273	0.647652	0.000000
0.634105	0.812980	0.263627	0.000000
0.468361	-0.162550	-0.113546	1.000000
0.483237	-0.152472	-0.411178	1.000000
-0.299869	-1.019977	0.113035	0.000000
0.517059	-0.017778	0.377693	1.000000
-0.418832	0.270056	0.078915	1.000000
-0.165391	-0.425635	-0.558599	1.000000
0.477623	-0.049221	0.055055	1.000000
0.488084	-0.836249	-0.067516	0.000000
-0.461083	0.239076	0.002663	1.000000
-0.335014	-0.318493	0.004490	1.000000
1.030581	0.077369	-0.025362	0.000000
0.977647	0.147309	0.302607	0.000000
-0.522190	0.868522	0.955118	0.000000
-0.472510	-0.223078	-0.696563	1.000000
-0.490442	-0.070701	-0.466605	1.000000
0.320088	-0.408149	0.268503	1.000000
-0.010341	0.547409	-0.381841	1.000000
0.510040	0.210435	-0.487771	1.000000
0.305376	-0.427904	-0.166416	1.000000
0.330816	-0.362756	0.173004	1.000000
0.914060	-0.103922	-0.556728	0.000000
0.390975	0.364219	-0.316584	1.000000
-0.993450	0.242274	-0.576516	0.000000
-0.016319	0.502815	-0.352925	1.000000
-0.931027	0.370955	0.736458	0.000000
0.932976	0.369896	0.191296	0.000000
-0.479067	-0.848024	-0.383765	0.000000
0.467863	0.108517	-0.249602	1.000000
0.956633	-0.335792	-0.565268	0.000000
0.039262	-0.513904	-0.342100	1.000000
-0.111266	-0.490131	-0.539820	1.000000
-0.544810	-0.125543	-0.149147	1.000000
1.009800	0.003716	0.121251	0.000000
0.509853	0.198949	-0.364083	1.000000
-0.300719	0.395782	-0.389386	1.000000
0.747151	-0.694528	-0.090379	0.000000
-0.460696	0.092485	0.828622	1.000000
0.329777	-0.360803	0.169417	1.000000
0.139724	-0.919990	0.540226	0.000000
