X	Y	Z	Label (0=S1,1=S2,4=IB)
0.017433	-3.187651	-1.075301	0.000000
-0.007114	-3.136007	-1.046543	0.000000
0.046438	-3.202106	-1.001268	0.000000
0.000150	-3.203899	-0.885559	0.000000
-0.004594	-3.075105	-0.994196	0.000000
0.071547	-3.156765	-0.927371	0.000000
0.040795	-3.118446	-1.089790	0.000000
-0.079365	-3.044164	-1.027300	0.000000
-0.033912	-3.047035	-0.944500	0.000000
-0.069964	-3.109798	-1.044911	0.000000
-0.089148	-3.150888	-1.016447	0.000000
-0.068949	-3.042694	-1.014327	0.000000
-0.026479	-3.140827	-0.932092	0.000000
-0.004838	-2.978482	-1.081871	0.000000
-0.014680	-3.108744	-1.006998	0.000000
-0.009232	-3.181108	-1.006964	0.000000
-0.017518	-3.064978	-0.954307	0.000000
-0.003422	-3.198958	-1.018844	0.000000
-0.115598	-3.247321	-1.019794	0.000000
-0.026831	-3.130666	-1.122850	0.000000
-0.027507	-3.105612	-0.899295	0.000000
-0.081752	-3.029744	-0.998895	0.000000
-0.038375	-3.043869	-0.986662	0.000000
-0.067119	-3.093617	-0.987140	0.000000
-0.184598	-3.019455	-0.920859	0.000000
-0.055314	-3.007267	-0.934543	0.000000
-0.124943	-3.164184	-0.985573	0.000000
-0.085783	-3.055073	-1.024618	0.000000
-0.121801	-3.132448	-0.932236	0.000000
-0.085827	-3.099718	-0.952374	0.000000
-0.079063	-3.101245	-0.932648	0.000000
-0.073470	-3.107264	-1.022313	0.000000
0.009003	-3.036382	-0.998121	0.000000
-0.110183	-3.020461	-1.031870	0.000000
-0.120142	-3.100198	-0.948843	0.000000
-0.188491	-3.044354	-0.955769	0.000000
-0.176640	-3.033015	-0.932039	0.000000
-0.065602	-2.917683	-0.937365	0.000000
-0.041030	-3.027381	-0.991773	0.000000
-0.101007	-3.035819	-1.006419	0.000000
-0.051189	-3.018375	-1.009116	0.000000
-0.124200	-2.979904	-1.047739	0.000000
-0.092641	-3.065114	-0.960507	0.000000
-0.153809	-2.973262	-0.988058	0.000000
-0.145791	-3.050941	-0.892798	0.000000
-0.169591	-3.057135	-1.033653	0.000000
-0.057074	-2.965842	-1.102772	0.000000
-0.188976	-2.994999	-0.930110	0.000000
-0.088408	-2.998468	-0.892686	0.000000
-0.202036	-3.001755	-1.017045	0.000000
-0.122384	-3.080115	-0.984541	0.000000
-0.150234	-3.006505	-0.994411	0.000000
-0.163716	-3.042011	-0.941149	0.000000
-0.095868	-2.940664	-0.993356	0.000000
-0.147997	-2.978901	-1.024794	0.000000
-0.205788	-3.096276	-0.960212	0.000000
-0.061313	-3.011377	-1.041211	0.000000
-0.139452	-2.989531	-1.068704	0.000000
-0.084108	-3.034193	-1.022966	0.000000
-0.196572	-3.048899	-1.040293	0.000000
-0.149095	-3.011402	-0.983212	0.000000
-0.147113	-2.987625	-0.943443	0.000000
-0.178511	-3.062484	-0.921917	0.000000
-0.139988	-2.936233	-0.882561	0.000000
-0.199250	-3.031835	-1.015122	0.000000
-0.194963	-2.920803	-1.060210	0.000000
-0.180565	-2.952406	-0.953318	0.000000
-0.236084	-3.041149	-0.932474	0.000000
-0.235470	-2.906365	-0.962161	0.000000
-0.156076	-2.978890	-0.918775	0.000000
-0.225877	-2.964767	-0.977631	0.000000
-0.168563	-2.997102	-0.952482	0.000000
-0.333731	-2.975167	-1.065208	0.000000
-0.283051	-2.996523	-0.908614	0.000000
-0.239380	-2.974592	-0.995204	0.000000
-0.186262	-2.952399	-1.024632	0.000000
-0.182011	-2.963091	-1.045737	0.000000
-0.107584	-2.830470	-0.941643	0.000000
-0.261410	-2.942224	-0.985808	0.000000
-0.188492	-2.907624	-0.973833	0.000000
-0.248633	-2.970882	-1.001615	0.000000
-0.270117	-2.999256	-0.975858	0.000000
-0.152169	-2.966160	-1.122192	0.000000
-0.220299	-2.904749	-1.040104	0.000000
-0.200440	-2.991149	-0.909667	0.000000
-0.221105	-2.807586	-1.054539	0.000000
-0.246711	-2.939230	-0.979598	0.000000
-0.199200	-2.947225	-0.991508	0.000000
-0.264333	-2.874240	-0.958931	0.000000
-0.259471	-2.869507	-0.980112	0.000000
-0.261219	-2.927138	-0.930793	0.000000
-0.269987	-2.807197	-1.003340	0.000000
-0.266918	-2.899759	-1.005839	0.000000
-0.296390	-2.836189	-1.067370	0.000000
-0.272267	-2.900875	-0.915980	0.000000
-0.134093	-2.899945	-0.941346	0.000000
-0.277454	-2.833164	-1.065757	0.000000
-0.222538	-2.930546	-0.966989	0.000000
-0.331524	-2.853392	-1.001894	0.000000
-0.306602	-2.899708	-0.989050	0.000000
-0.308454	-2.875549	-0.893202	0.000000
-0.108331	-2.861778	-1.020475	0.000000
-0.284716	-2.912470	-0.906339	0.000000
-0.238188	-2.934144	-1.018303	0.000000
-0.238473	-2.887770	-0.918576	0.000000
-0.255817	-2.892459	-0.890804	0.000000
-0.292504	-2.872457	-1.010443	0.000000
-0.223266	-2.840722	-0.962635	0.000000
-0.229564	-2.880888	-0.927652	0.000000
-0.269468	-2.827471	-0.941626	0.000000
-0.196967	-2.825390	-1.016189	0.000000
-0.266018	-2.922169	-0.986139	0.000000
-0.282429	-2.864914	-0.909824	0.000000
-0.259295	-2.873530	-0.921068	0.000000
-0.264357	-2.863719	-0.985262	0.000000
-0.266482	-2.815489	-1.027181	0.000000
-0.264570	-2.856476	-0.848076	0.000000
-0.311040	-2.939439	-1.017236	0.000000
-0.254604	-2.830577	-1.001249	0.000000
-0.277787	-2.764010	-0.999511	0.000000
-0.290400	-2.887244	-0.915420	0.000000
-0.305362	-2.882664	-0.986642	0.000000
-0.295019	-2.843275	-1.013211	0.000000
-0.279844	-2.934366	-0.882345	0.000000
-0.329171	-2.732808	-0.959230	0.000000
-0.302991	-2.810968	-1.001159	0.000000
-0.307681	-2.847224	-0.917874	0.000000
-0.381048	-2.885740	-1.068223	0.000000
-0.239408	-2.711889	-0.997577	0.000000
-0.340200	-2.804744	-0.919441	0.000000
-0.285911	-2.871585	-0.992457	0.000000
-0.311411	-2.782628	-0.950163	0.000000
-0.386653	-2.829774	-1.028730	0.000000
-0.330210	-2.766308	-0.913538	0.000000
-0.297075	-2.804783	-0.944624	0.000000
-0.312101	-2.756453	-0.943431	0.000000
-0.379496	-2.760878	-0.889819	0.000000
-0.293419	-2.854854	-1.023778	0.000000
-0.279096	-2.808346	-0.954909	0.000000
-0.344025	-2.741014	-0.937062	0.000000
-0.419682	-2.717152	-0.896256	0.000000
-0.360959	-2.743185	-0.923240	0.000000
-0.421796	-2.765673	-0.969879	0.000000
-0.344784	-2.794424	-0.925961	0.000000
-0.362206	-2.753104	-1.090107	0.000000
-0.394541	-2.775888	-0.927310	0.000000
-0.319363	-2.808748	-0.919068	0.000000
-0.360988	-2.769993	-0.906177	0.000000
-0.429255	-2.726430	-1.054029	0.000000
-0.359093	-2.711811	-0.882428	0.000000
-0.362522	-2.802419	-0.927733	0.000000
-0.305806	-2.788211	-0.960532	0.000000
-0.357051	-2.692760	-0.947611	0.000000
-0.293682	-2.909004	-0.986968	0.000000
-0.323739	-2.729753	-0.965075	0.000000
-0.356094	-2.761420	-0.958188	0.000000
-0.353189	-2.755392	-0.866086	0.000000
-0.420196	-2.709963	-0.940028	0.000000
-0.463618	-2.748786	-0.886756	0.000000
-0.341753	-2.875467	-0.911248	0.000000
-0.361744	-2.739745	-0.905582	0.000000
-0.287812	-2.704495	-0.865208	0.000000
-0.386019	-2.643025	-0.940678	0.000000
-0.406996	-2.705702	-0.919953	0.000000
-0.342869	-2.706298	-0.936185	0.000000
-0.351207	-2.798263	-0.926687	0.000000
-0.328346	-2.605730	-0.879269	0.000000
-0.314053	-2.683558	-0.919297	0.000000
-0.382729	-2.739062	-0.831526	0.000000
-0.457558	-2.685621	-0.833576	0.000000
-0.405368	-2.781828	-0.920579	0.000000
-0.329747	-2.691162	-0.960920	0.000000
-0.392176	-2.755829	-0.859183	0.000000
-0.428361	-2.649970	-0.897324	0.000000
-0.405882	-2.707003	-0.896590	0.000000
-0.467463	-2.627714	-0.876633	0.000000
